CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
10.739.356/0001-03;2026-12-31;2;158394;BRBI BR PARTNERS S.A;352776;Capital Subscrito;2022-01-25;674940442.77;Totalmente integralizado;200546184;114440928;314987112
10.739.356/0001-03;2026-12-31;2;158394;BRBI BR PARTNERS S.A;352777;Capital Integralizado;2022-01-25;674940442.77;Totalmente integralizado;200546184;114440928;314987112
10.739.356/0001-03;2026-12-31;2;158394;BRBI BR PARTNERS S.A;352778;Capital Autorizado;2020-09-01;0.00;;0;0;200000000
10.760.260/0001-19;2026-12-31;1;158235;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;352410;Capital Subscrito;2023-11-24;1755263701.98;N/A;525591097;0;525591097
10.760.260/0001-19;2026-12-31;1;158235;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;352411;Capital Emitido;2023-11-24;1755263701.98;N/A;525591097;0;525591097
10.760.260/0001-19;2026-12-31;1;158235;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;352412;Capital Integralizado;2023-11-24;1755263701.98;N/A;525591097;0;525591097
10.760.260/0001-19;2026-12-31;1;158235;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;352413;Capital Autorizado;2011-08-03;5000000000.00;N/A;0;0;0
10.835.932/0001-08;2026-12-31;1;157811;CIA ENERGETICA DE PERNAMBUCO - CELPE;351524;Capital Integralizado;2026-04-24;2663177693.34;31/12/2026;288315317;7647788;295963105
10.835.932/0001-08;2026-12-31;1;157811;CIA ENERGETICA DE PERNAMBUCO - CELPE;351525;Capital Autorizado;2025-12-01;2700000000.00;;0;0;0
10.835.932/0001-08;2026-12-31;1;157811;CIA ENERGETICA DE PERNAMBUCO - CELPE;351526;Capital Subscrito;2026-04-24;2663177693.34;;288315317;7647788;295963105
10.835.932/0001-08;2026-12-31;1;157811;CIA ENERGETICA DE PERNAMBUCO - CELPE;351527;Capital Emitido;2026-04-24;2663177693.34;;288315317;7647788;295963105
10.841.050/0001-55;2026-12-31;1;158116;CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS;352128;Capital Emitido;2023-06-13;287664883.37;;287664883;0;287664883
10.841.050/0001-55;2026-12-31;1;158116;CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS;352129;Capital Subscrito;2023-06-13;287664883.37;;287664883;0;287664883
10.841.050/0001-55;2026-12-31;1;158116;CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS;352130;Capital Integralizado;2023-06-13;287664883.37;;287664883;0;287664883
10.841.050/0001-55;2026-12-31;1;158116;CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS;352131;Capital Autorizado;2020-05-06;428790103.63;;0;0;0
11.421.994/0001-36;2026-12-31;1;158619;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;353366;Capital Emitido;2025-05-23;1191126956.34;Não aplicável;96126871;0;96126871
11.421.994/0001-36;2026-12-31;1;158619;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;353367;Capital Subscrito;2025-05-28;1191126956.34;Não aplicável;96126871;0;96126871
11.421.994/0001-36;2026-12-31;1;158619;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;353368;Capital Integralizado;2025-05-28;1191126956.34;;96126871;0;96126871
11.421.994/0001-36;2026-12-31;1;158619;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;353369;Capital Autorizado;2025-05-23;2864917667.60;;0;0;0
11.992.680/0001-93;2026-12-31;1;158387;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;352758;Capital Emitido;2019-11-12;896557588.73;N/A;284014325;0;284014325
11.992.680/0001-93;2026-12-31;1;158387;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;352759;Capital Subscrito;2019-11-12;896557588.73;N/A;284014325;0;284014325
11.992.680/0001-93;2026-12-31;1;158387;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;352760;Capital Integralizado;2019-11-12;896557588.73;N/A;284014325;0;284014325
11.992.680/0001-93;2026-12-31;1;158387;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;352761;Capital Autorizado;2011-05-30;0.00;N/A;350000000;0;350000000
12.049.631/0001-84;2026-12-31;1;158410;MOURA DUBEUX ENGENHARIA S/A;352820;Capital Emitido;2026-01-22;1874138815.28;;104214394;0;104214394
12.049.631/0001-84;2026-12-31;1;158410;MOURA DUBEUX ENGENHARIA S/A;352821;Capital Subscrito;2026-01-22;1874138815.28;;104214394;0;104214394
12.049.631/0001-84;2026-12-31;1;158410;MOURA DUBEUX ENGENHARIA S/A;352822;Capital Integralizado;2026-01-22;1874138815.28;;104214394;0;104214394
12.049.631/0001-84;2026-12-31;1;158410;MOURA DUBEUX ENGENHARIA S/A;352823;Capital Autorizado;2020-02-11;0.00;;100000000;0;100000000
12.091.809/0001-55;2026-12-31;1;158396;BRAVA ENERGIA S.A.;352782;Capital Emitido;2025-09-18;11977517089.53;Não aplicável;464557268;0;464557268
12.091.809/0001-55;2026-12-31;1;158396;BRAVA ENERGIA S.A.;352783;Capital Subscrito;2025-09-18;11977517089.53;Não aplicável;464557268;0;464557268
12.091.809/0001-55;2026-12-31;1;158396;BRAVA ENERGIA S.A.;352784;Capital Integralizado;2025-09-18;11977517089.53;Não aplicável;464557268;0;464557268
12.091.809/0001-55;2026-12-31;1;158396;BRAVA ENERGIA S.A.;352785;Capital Autorizado;2025-09-18;0.00;Não aplicável;1416999623;0;1416999623
12.104.241/0004-02;2026-12-31;2;158602;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;353313;Capital Integralizado;2025-11-18;4561569423.52;N/A;1132929494;0;1132929494
12.104.241/0004-02;2026-12-31;2;158602;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;353314;Capital Subscrito;2025-11-18;4561569423.52;N/A;1132929494;0;1132929494
12.104.241/0004-02;2026-12-31;2;158602;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;353315;Capital Emitido;2025-11-18;4561569423.52;N/A;1132929494;0;1132929494
